"Tidsmerke","Hvilken øvingsforelesning følger du?","Hvor i ""øvingskalenderen"" ønsker du øvingsforelesningen skal være?

Gitt at innlevering for  øving 2 er fredag i uke 2, og innlevering for øving 3 er fredag i uke 3. ","Hvordan synes du tiden til å løse oppgaver i øvingsforelesningen er?"
"2022/09/02 2:21:11 p.m. EET","Mandag - Fysisk","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/02 2:21:11 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","2"
"2022/09/02 2:21:12 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 2:21:13 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))",""
"2022/09/02 2:21:14 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/02 2:21:14 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","2"
"2022/09/02 2:21:17 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","1"
"2022/09/02 2:21:18 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 2:21:19 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 2:21:21 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 2:21:23 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 2:21:24 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 2:21:31 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 2:21:31 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/02 2:21:37 p.m. EET","Mandag - Digital","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/02 2:21:46 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 2:21:48 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","1"
"2022/09/02 2:22:07 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.",""
"2022/09/02 2:23:05 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","4"
